Unnamed: 0,Rank,NOC,Gold,Silver,Bronze,Total,Year,Host,Number_of_people
1139,60,Finland,0,2,1,3,2012,0,56
1140,60,Indonesia,0,2,1,3,2012,0,22
1141,63,Slovakia,0,1,3,4,2012,0,47
1142,64,Belgium,0,1,2,3,2012,0,111
1143,65,Armenia,0,1,1,2,2012,0,24
1144,65,Estonia,0,1,1,2,2012,0,32
1145,65,Malaysia,0,1,1,2,2012,0,28
1146,65,Puerto_Rico,0,1,1,2,2012,0,25
1147,65,Qatar,0,1,1,2,2012,0,12
1148,70,Botswana,0,1,0,1,2012,0,4
1149,70,Cyprus,0,1,0,1,2012,0,13
1150,70,Gabon,0,1,0,1,2012,0,21
1151,70,Guatemala,0,1,0,1,2012,0,19
1152,70,Montenegro,0,1,0,1,2012,0,33
1153,70,Portugal,0,1,0,1,2012,0,76
1154,76,Uzbekistan,0,0,3,3,2012,0,53
1155,77,Greece,0,0,2,2,2012,0,102
1156,77,Singapore,0,0,2,2,2012,0,23
1157,79,Afghanistan,0,0,1,1,2012,0,6
1158,79,Cameroon,0,0,1,1,2012,0,32
1159,79,Hong_Kong,0,0,1,1,2012,0,41
1160,79,Kuwait,0,0,1,1,2012,0,10
1161,79,Morocco,0,0,1,1,2012,0,63
1162,79,Saudi_Arabia,0,0,1,1,2012,0,18
1163,79,Tajikistan,0,0,1,1,2012,0,16
1164,79,Vietnam,0,0,1,1,2012,0,18
1165,1,United_States,46,37,38,121,2016,0,544
1166,2,Great_Britain,27,23,17,67,2016,0,357
1167,3,China,26,18,26,70,2016,0,378
1168,4,Russia,19,17,20,56,2016,0,279
1169,5,Germany,17,10,15,42,2016,0,413
1170,6,Japan,12,8,21,41,2016,0,335
1171,7,France,10,18,14,42,2016,0,390
1172,8,South_Korea,9,3,9,21,2016,0,199
1173,9,Italy,8,12,8,28,2016,0,305
1174,10,Australia,8,11,10,29,2016,0,414
1175,11,Netherlands,8,7,4,19,2016,0,229
1176,12,Hungary,8,3,4,15,2016,0,153
1177,13,Brazil,7,6,6,19,2016,1,448
1178,14,Spain,7,4,6,17,2016,0,303
1179,15,Kenya,6,6,1,13,2016,0,79
1180,16,Jamaica,6,3,2,11,2016,0,56
1181,17,Croatia,5,3,2,10,2016,0,85
1182,18,Cuba,5,2,4,11,2016,0,117
1183,19,New_Zealand,4,9,5,18,2016,0,195
1184,20,Canada,4,3,15,22,2016,0,301
1185,21,Uzbekistan,4,2,7,13,2016,0,70
1186,22,Colombia,3,2,3,8,2016,0,143
1187,23,Switzerland,3,2,2,7,2016,0,98
1188,24,Iran,3,1,4,8,2016,0,63
1189,25,Greece,3,1,2,6,2016,0,92
1190,26,Argentina,3,1,0,4,2016,0,213
1191,27,Denmark,2,6,7,15,2016,0,117
1192,28,Sweden,2,6,3,11,2016,0,150
1193,29,South_Africa,2,6,2,10,2016,0,135
1194,30,Kazakhstan,2,5,10,17,2016,0,101
1195,31,Ukraine,2,5,4,11,2016,0,201
1196,32,Serbia,2,4,2,8,2016,0,103
1197,33,Poland,2,3,6,11,2016,0,230
1198,34,North_Korea,2,3,2,7,2016,0,30
1199,35,Belgium,2,2,2,6,2016,0,104
1200,35,Thailand,2,2,2,6,2016,0,54
1201,37,Slovakia,2,2,0,4,2016,0,51
1202,38,Georgia,2,1,4,7,2016,0,40
1203,39,Azerbaijan,1,7,10,18,2016,0,56
1204,40,Belarus,1,4,4,9,2016,0,120
1205,41,Turkey,1,3,4,8,2016,0,100
1206,42,Armenia,1,3,0,4,2016,0,31
1207,43,Czech_Republic,1,2,7,10,2016,0,103
1208,44,Ethiopia,1,2,5,8,2016,0,37
1209,45,Slovenia,1,2,1,4,2016,0,63
1210,46,Indonesia,1,2,0,3,2016,0,24
1211,47,Romania,1,1,2,4,2016,0,94
1212,48,Bahrain,1,1,0,2,2016,0,33
1213,48,Vietnam,1,1,0,2,2016,0,22
1214,50,Chinese_Taipei,1,0,2,3,2016,0,55
1215,51,Bahamas,1,0,1,2,2016,0,29
1216,51,Independent_Olympic_Athletes,1,0,1,2,2016,0,29
1217,51,Ivory_Coast,1,0,1,2,2016,0,29
1218,54,Fiji,1,0,0,1,2016,0,53
1219,54,Jordan,1,0,0,1,2016,0,8
1220,54,Kosovo,1,0,0,1,2016,0,8
1221,54,Puerto_Rico,1,0,0,1,2016,0,40
1222,54,Singapore,1,0,0,1,2016,0,24
1223,54,Tajikistan,1,0,0,1,2016,0,7
1224,60,Malaysia,0,4,1,5,2016,0,32
1225,61,Mexico,0,3,2,5,2016,0,122
1226,62,Venezuela,0,2,1,3,2016,0,85
1227,63,Algeria,0,2,0,2,2016,0,64
1228,63,Ireland,0,2,0,2,2016,0,76
1229,65,Lithuania,0,1,3,4,2016,0,67
1230,66,Bulgaria,0,1,2,3,2016,0,50
1231,67,India,0,1,1,2,2016,0,112
1232,67,Mongolia,0,1,1,2,2016,0,43
1233,69,Burundi,0,1,0,1,2016,0,9
1234,69,Grenada,0,1,0,1,2016,0,6
1235,69,Niger,0,1,0,1,2016,0,6
1236,69,Philippines,0,1,0,1,2016,0,13
1237,69,Qatar,0,1,0,1,2016,0,37
1238,74,Norway,0,0,4,4,2016,0,62
1239,75,Egypt,0,0,3,3,2016,0,118
1240,75,Tunisia,0,0,3,3,2016,0,61
1241,77,Israel,0,0,2,2,2016,0,47
1242,78,Austria,0,0,1,1,2016,0,67
1243,78,Dominican_Republic,0,0,1,1,2016,0,26
1244,78,Estonia,0,0,1,1,2016,0,46
1245,78,Finland,0,0,1,1,2016,0,54
1246,78,Morocco,0,0,1,1,2016,0,48
1247,78,Nigeria,0,0,1,1,2016,0,71
1248,78,Portugal,0,0,1,1,2016,0,90
1249,78,Trinidad_and_Tobago,0,0,1,1,2016,0,28
1250,78,United_Arab_Emirates,0,0,1,1,2016,0,12
1251,1,United_States,39,41,33,113,2020,0,633
1252,2,China,38,32,19,89,2020,0,417
1253,3,Japan,27,14,17,58,2020,1,613
1254,4,Great_Britain,22,20,22,64,2020,0,392
1255,5,ROC,20,28,23,71,2020,0,392
1256,6,Australia,17,7,22,46,2020,0,489
1257,7,Netherlands,10,12,14,36,2020,0,282
1258,8,France,10,12,11,33,2020,0,396
1259,9,Germany,10,11,16,37,2020,0,415
1260,10,Italy,10,10,20,40,2020,0,377
1261,11,Canada,7,7,10,24,2020,0,386
1262,12,Brazil,7,6,8,21,2020,0,319
1263,13,New_Zealand,7,6,7,20,2020,0,228
1264,14,Cuba,7,3,5,15,2020,0,69
1265,15,Hungary,6,7,7,20,2020,0,171
1266,16,South_Korea,6,4,10,20,2020,0,237
1267,17,Poland,4,5,5,14,2020,0,218
1268,18,Czech_Republic,4,4,3,11,2020,0,115
1269,19,Kenya,4,4,2,10,2020,0,87
1270,20,Norway,4,2,2,8,2020,0,93
1271,21,Jamaica,4,1,4,9,2020,0,61
1272,22,Spain,3,8,6,17,2020,0,334
1273,23,Sweden,3,6,0,9,2020,0,136
1274,24,Switzerland,3,4,6,13,2020,0,116
1275,25,Denmark,3,4,4,11,2020,0,108
1276,26,Croatia,3,3,2,8,2020,0,60
1277,27,Iran,3,2,2,7,2020,0,65
1278,28,Serbia,3,1,5,9,2020,0,87
1279,29,Belgium,3,1,3,7,2020,0,130
1280,30,Bulgaria,3,1,2,6,2020,0,42
1281,31,Slovenia,3,1,1,5,2020,0,53
1282,32,Uzbekistan,3,0,2,5,2020,0,67
1283,33,Georgia,2,5,1,8,2020,0,35
1284,34,Chinese_Taipei,2,4,6,12,2020,0,68
1285,35,Turkey,2,2,9,13,2020,0,107
1286,36,Greece,2,1,1,4,2020,0,82
1287,36,Uganda,2,1,1,4,2020,0,25
1288,38,Ecuador,2,1,0,3,2020,0,47
1289,39,Ireland,2,0,2,4,2020,0,125
1290,39,Israel,2,0,2,4,2020,0,90
1291,41,Qatar,2,0,1,3,2020,0,16
1292,42,Bahamas,2,0,0,2,2020,0,16
1293,42,Kosovo,2,0,0,2,2020,0,11
1294,44,Ukraine,1,6,12,19,2020,0,153
1295,45,Belarus,1,3,3,7,2020,0,103
1296,46,Romania,1,3,0,4,2020,0,104
1297,46,Venezuela,1,3,0,4,2020,0,43
1298,48,India,1,2,4,7,2020,0,126
1299,49,Hong_Kong,1,2,3,6,2020,0,126
1300,50,Philippines,1,2,1,4,2020,0,19
1301,50,Slovakia,1,2,1,4,2020,0,41
1302,52,South_Africa,1,2,0,3,2020,0,181
1303,53,Austria,1,1,5,7,2020,0,76
1304,54,Egypt,1,1,4,6,2020,0,140
1305,55,Indonesia,1,1,3,5,2020,0,28
1306,56,Ethiopia,1,1,2,4,2020,0,37
1307,56,Portugal,1,1,2,4,2020,0,93
1308,58,Tunisia,1,1,0,2,2020,0,63
1309,59,Estonia,1,0,1,2,2020,0,33
1310,59,Fiji,1,0,1,2,2020,0,32
1311,59,Latvia,1,0,1,2,2020,0,33
1312,59,Thailand,1,0,1,2,2020,0,41
1313,63,Bermuda,1,0,0,1,2020,0,2
1314,63,Morocco,1,0,0,1,2020,0,46
1315,63,Puerto_Rico,1,0,0,1,2020,0,37
1316,66,Colombia,0,4,1,5,2020,0,69
1317,67,Azerbaijan,0,3,4,7,2020,0,44
1318,68,Dominican_Republic,0,3,2,5,2020,0,66
1319,69,Armenia,0,2,2,4,2020,0,17
1320,70,Kyrgyzstan,0,2,1,3,2020,0,16
1321,71,Mongolia,0,1,3,4,2020,0,43
1322,72,Argentina,0,1,2,3,2020,0,189
1323,72,San_Marino,0,1,2,3,2020,0,5
1324,74,Jordan,0,1,1,2,2020,0,14
1325,74,Malaysia,0,1,1,2,2020,0,30
1326,74,Nigeria,0,1,1,2,2020,0,53
1327,77,Bahrain,0,1,0,1,2020,0,32
1328,77,Lithuania,0,1,0,1,2020,0,42
1329,77,Namibia,0,1,0,1,2020,0,11
1330,77,North_Macedonia,0,1,0,1,2020,0,8
1331,77,Saudi_Arabia,0,1,0,1,2020,0,33
1332,77,Turkmenistan,0,1,0,1,2020,0,9
1333,83,Kazakhstan,0,0,8,8,2020,0,97
1334,84,Mexico,0,0,4,4,2020,0,162
1335,85,Finland,0,0,2,2,2020,0,45
1336,86,Botswana,0,0,1,1,2020,0,14
1337,86,Burkina_Faso,0,0,1,1,2020,0,7
1338,86,Ghana,0,0,1,1,2020,0,14
1339,86,Grenada,0,0,1,1,2020,0,6
1340,86,Ivory_Coast,0,0,1,1,2020,0,31
1341,86,Kuwait,0,0,1,1,2020,0,10
1342,86,Moldova,0,0,1,1,2020,0,20
1343,86,Syria,0,0,1,1,2020,0,6
1344,1,United_States,40,44,42,126,2024,0,619
1345,2,China,40,27,24,91,2024,0,396
1346,3,Japan,20,12,13,45,2024,0,430
1347,4,Australia,18,19,16,53,2024,0,474
1348,5,France,16,26,22,64,2024,1,601
1349,6,Netherlands,15,7,12,34,2024,0,288
1350,7,Great_Britain,14,22,29,65,2024,0,343
1351,8,South_Korea,13,9,10,32,2024,0,343
1352,9,Italy,12,13,15,40,2024,0,397
1353,10,Germany,12,13,8,33,2024,0,457
1354,11,New_Zealand,10,7,3,20,2024,0,208
1355,12,Canada,9,7,11,27,2024,0,332
1356,13,Uzbekistan,8,2,3,13,2024,0,88
1357,14,Hungary,6,7,6,19,2024,0,177
1358,15,Spain,5,4,9,18,2024,0,400
1359,16,Sweden,4,4,3,11,2024,0,125
1360,17,Kenya,4,2,5,11,2024,0,74
1361,18,Norway,4,1,3,8,2024,0,109
1362,19,Ireland,4,0,3,7,2024,0,143
1363,20,Brazil,3,7,10,20,2024,0,289
1364,21,Iran,3,6,3,12,2024,0,289
1365,22,Ukraine,3,5,4,12,2024,0,141
1366,23,Romania,3,4,2,9,2024,0,96
1367,24,Georgia,3,3,1,7,2024,0,28
1368,25,Belgium,3,1,6,10,2024,0,177
1369,26,Bulgaria,3,1,3,7,2024,0,46
1370,27,Serbia,3,1,1,5,2024,0,114
1371,28,Czech_Republic,3,0,2,5,2024,0,114
1372,29,Denmark,2,2,5,9,2024,0,128
1373,30,Azerbaijan,2,2,3,7,2024,0,48
1374,30,Croatia,2,2,3,7,2024,0,73
1375,32,Cuba,2,1,6,9,2024,0,61
1376,33,Bahrain,2,1,1,4,2024,0,14
1377,34,Slovenia,2,1,0,3,2024,0,94
1378,35,Chinese_Taipei,2,0,5,7,2024,0,60
1379,36,Austria,2,0,3,5,2024,0,84
1380,37,Hong_Kong,2,0,2,4,2024,0,84
1381,37,Philippines,2,0,2,4,2024,0,22
1382,39,Algeria,2,0,1,3,2024,0,46
1383,39,Indonesia,2,0,1,3,2024,0,29
1384,41,Israel,1,5,1,7,2024,0,89
1385,42,Poland,1,4,5,10,2024,0,226
1386,43,Kazakhstan,1,3,3,7,2024,0,79
1387,44,Jamaica,1,3,2,6,2024,0,65
1388,44,South_Africa,1,3,2,6,2024,0,141
1389,44,Thailand,1,3,2,6,2024,0,52
1390,47,Ethiopia,1,3,0,4,2024,0,33
1391,48,Switzerland,1,2,5,8,2024,0,137
1392,49,Ecuador,1,2,2,5,2024,0,40
1393,50,Portugal,1,2,1,4,2024,0,75
1394,51,Greece,1,1,6,8,2024,0,100
1395,52,Argentina,1,1,1,3,2024,0,143
1396,52,Egypt,1,1,1,3,2024,0,155
1397,52,Tunisia,1,1,1,3,2024,0,26
1398,55,Botswana,1,1,0,2,2024,0,14
1399,55,Chile,1,1,0,2,2024,0,48
1400,55,Saint_Lucia,1,1,0,2,2024,0,4
1401,55,Uganda,1,1,0,2,2024,0,25
1402,59,Dominican_Republic,1,0,2,3,2024,0,59
1403,60,Guatemala,1,0,1,2,2024,0,16
1404,60,Morocco,1,0,1,2,2024,0,61
1405,62,Dominica,1,0,0,1,2024,0,4
1406,62,Pakistan,1,0,0,1,2024,0,7
1407,64,Turkey,0,3,5,8,2024,0,7
1408,65,Mexico,0,3,2,5,2024,0,108
1409,66,Armenia,0,3,1,4,2024,0,15
1410,66,Colombia,0,3,1,4,2024,0,88
1411,68,Kyrgyzstan,0,2,4,6,2024,0,16
1412,68,North_Korea,0,2,4,6,2024,0,16
1413,70,Lithuania,0,2,2,4,2024,0,51
1414,71,India,0,1,5,6,2024,0,112
1415,72,Moldova,0,1,3,4,2024,0,112
1416,73,Kosovo,0,1,1,2,2024,0,9
1417,74,Cyprus,0,1,0,1,2024,0,15
1418,74,Fiji,0,1,0,1,2024,0,36
1419,74,Jordan,0,1,0,1,2024,0,12
1420,74,Mongolia,0,1,0,1,2024,0,32
1421,74,Panama,0,1,0,1,2024,0,8
1422,79,Tajikistan,0,0,3,3,2024,0,14
1423,80,Albania,0,0,2,2,2024,0,8
1424,80,Grenada,0,0,2,2,2024,0,6
1425,80,Malaysia,0,0,2,2,2024,0,26
1426,80,Puerto_Rico,0,0,2,2,2024,0,51
1427,84,Cabo_Verde,0,0,1,1,2024,0,7
1428,84,Ivory_Coast,0,0,1,1,2024,0,7
1429,84,Peru,0,0,1,1,2024,0,26
1430,84,Qatar,0,0,1,1,2024,0,13
1431,84,Refugee_Olympic_Team,0,0,1,1,2024,0,13
1432,84,Singapore,0,0,1,1,2024,0,23
1433,84,Slovakia,0,0,1,1,2024,0,28
1434,84,Zambia,0,0,1,1,2024,0,31
